author,published_at,updated_at,like_count,text
@donfaez,2024-12-04T16:48:21Z,2024-12-04T16:48:21Z,0,Still using  the 7 Pro and it&#39;s crazy how good it was. maybe I will buy the 13.
@Stefi2772,2024-12-04T16:46:41Z,2024-12-04T16:46:41Z,0,when will be launched globaly this beautyful rocket ? 😍
@IsoEvolve,2024-12-04T16:08:41Z,2024-12-04T16:08:41Z,0,"On OnePlus 9, idk if I should get the 13 or the Open"
@grumui859,2024-12-04T15:41:21Z,2024-12-04T15:41:21Z,0,bro faster mann，I can&#39;t wait any second😫
@betolov,2024-12-04T15:39:43Z,2024-12-04T15:39:43Z,0,Waiting for the fold 2
@mandirasinhaganguly1091,2024-12-04T15:07:38Z,2024-12-04T15:07:38Z,0,My favourite phone so far. Literally fixed most flaws in the 12
@aaryankawtya3213,2024-12-04T14:11:23Z,2024-12-04T14:11:23Z,0,comeOn change the boring CAMERA MODULE DESIGN..<br><br>SQUARE DESIGN IS much better
@mrright884,2024-12-04T13:44:38Z,2024-12-04T13:44:38Z,0,Another China phone that when you open the box half of the price is lost. No thanks.
@Pinku254,2024-12-04T13:29:49Z,2024-12-04T13:29:49Z,0,Please launch in India 6.3 inch size phone 🙏
@KYRY98,2024-12-04T13:29:44Z,2024-12-04T13:29:44Z,0,I&#39;m waiting impatiently for the OnePlus 13 while using my OnePlus 7T 😁
@Amitchaudhary-cc7go,2024-12-04T12:38:18Z,2024-12-04T12:38:18Z,0,IQ 13 is a best
@sufiyanrafique251,2024-12-04T11:33:06Z,2024-12-04T11:33:06Z,0,wow what a let down
@Chris_the_Titaras,2024-12-04T11:27:08Z,2024-12-04T11:27:08Z,0,Watching on OnePlus 5T!! 😊
@GadgetsArise,2024-12-04T11:03:32Z,2024-12-04T11:03:32Z,0,"Ah, this design is getting boring now"
@JapanJacques,2024-12-04T10:18:17Z,2024-12-04T10:18:17Z,0,Watching on my OnePlus 13 😜
@the350azoker,2024-12-04T10:16:52Z,2024-12-04T10:16:52Z,73,Watching on my legendary OnePlus 7
@krishkiruba,2024-12-04T09:52:24Z,2024-12-04T09:52:24Z,0,Waiting for R (13R)🎉
@festyplays,2024-12-04T09:34:40Z,2024-12-04T09:34:40Z,0,"OnePlus should work on under display cameras for the best display experience, they should take inspiration from &quot;Redmagic 10&quot;"
@nihilwalde1247,2024-12-04T09:07:11Z,2024-12-04T09:07:11Z,0,Don&#39;t buy OnePlus 🙏🏻
@danutgabriel7024,2024-12-04T08:58:57Z,2024-12-04T08:58:57Z,0,"Watching this on my OnePlus 8T. Besides the battery, everything still as it were new"
@khushiReddy_24,2024-12-04T08:11:48Z,2024-12-04T08:11:48Z,0,One plus phones are the worst. They give you update and degrade your phone. Or give you dead phone. Worst
@RSJ1961,2024-12-04T08:02:56Z,2024-12-04T08:02:56Z,0,Still using OnePlus 5t ❤
@prabhjeetsingh123,2024-12-04T08:00:45Z,2024-12-04T08:00:45Z,1,Hlo oneplus I am using oneplus nord 4 absolutely amazing. But i want to work in your youtube videos pls.
@salond07,2024-12-04T07:50:39Z,2024-12-04T07:50:39Z,0,Come to Thailand please. PLEASE!!!
@24685sourav,2024-12-04T07:37:19Z,2024-12-04T07:37:19Z,0,"Considering the price, camera is pathetic in OP12. If light is slightly lower then even a decent picture seems dream. Will switch soon."
